userid,itemid,rating,timestamp
344,815,2,884900409
256,283,3,882150313
57,28,4,883698324
897,55,3,879990622
397,186,5,885349955
109,1013,3,880572296
425,319,1,878737511
328,117,4,885046420
308,313,3,887736408
535,1039,4,879618058
299,237,2,877877649
615,87,4,879448780
201,972,3,884140522
606,196,4,880926759
159,471,4,880485861
186,298,3,879023073
16,151,5,877721905
90,433,3,891384611
804,7,4,879443673
682,167,2,888522101
313,154,2,891014753
883,273,4,892557850
922,568,3,891450524
95,1219,1,888956489
798,1283,4,875295695
943,385,4,888639308
805,143,3,881705765
756,251,4,875129238
49,995,3,888065577
269,1017,5,892567767
357,258,4,878951101
901,69,5,877132346
328,347,5,885596118
833,515,3,875035660
16,178,5,877719333
276,531,4,874790801
389,583,2,880088039
406,89,4,879446361
617,453,1,883789715
553,153,5,879949107
354,507,3,891306892
401,144,5,891033523
417,230,3,879647850
318,64,4,884495590
897,597,5,879993519
577,561,4,880474955
458,694,4,886396140
487,845,4,883442260
886,65,3,876031870
311,63,3,884365686
321,186,4,879440245
823,88,5,878438780
7,627,3,891352594
82,169,4,878769442
666,510,4,880139409
537,873,2,886029211
562,50,5,879196445
116,56,5,886310197
854,216,3,882814028
840,153,3,891204627
483,275,4,878951388
506,608,4,874874055
246,219,5,884922801
752,909,3,891208036
457,127,5,882396902
5,367,3,875636281
221,1210,3,875246887
880,762,4,893028813
345,26,3,884993555
682,7,4,888522455
747,30,5,888638913
465,174,3,883531409
373,778,5,877105529
526,277,2,885682657
222,549,4,878184055
222,160,1,878182154
622,168,4,882592041
479,15,3,879460140
749,181,5,878846998
197,39,2,891409982
405,603,3,885548578
663,655,4,889493869
627,673,2,879530110
250,9,2,878089547
16,56,5,877719863
896,310,4,887157208
141,932,3,884585128
378,756,3,880057088
383,488,4,891193242
587,323,4,892871284
184,7,3,889907738
634,922,4,875728913
222,597,1,877564076
806,56,5,882387999
90,1097,4,891384885
778,281,2,890803859
495,447,4,888635420
295,60,5,879517492
429,392,3,882386051
499,463,5,885599498
276,270,4,879131395
5,420,3,875721168
454,588,3,881960083
429,679,4,882387653
312,663,5,891699599
826,1222,3,885690819
830,29,1,891899476
303,721,4,879484194
608,490,4,880405824
374,1011,4,880393783
746,68,4,885075337
497,291,3,879361707
339,126,4,891032121
698,28,2,886366916
918,340,1,891986174
795,1095,3,883767108
318,869,3,884498461
92,1095,2,886443728
561,1059,1,885808867
21,328,3,874951005
213,474,2,878955635
782,1388,3,891500028
458,925,3,886395166
200,151,3,876042204
234,419,4,892334644
640,428,5,874778299
472,1074,5,892790676
326,655,5,879875432
542,357,5,886532534
305,479,3,886323275
16,127,5,877719206
393,418,3,887746207
533,148,3,882902641
389,475,5,879915780
457,540,3,882551740
647,1063,3,876776320
207,428,4,877838826
184,945,4,889909721
303,159,3,879484695
286,144,3,877531434
102,241,3,888802038
279,1030,4,875659761
345,220,3,884991457
262,755,3,879794446
543,469,4,875663056
11,227,3,891905896
863,1038,1,889289327
620,975,3,889987852
854,153,4,882813990
627,399,3,879531557
639,313,1,891238514
758,892,2,883190434
916,541,2,880845206
921,202,4,884673891
380,465,4,885478845
344,459,4,884899741
889,566,3,880181275
391,288,3,877398679
521,742,3,884477512
660,301,3,891197661
823,234,4,878438608
383,223,3,891193137
437,152,4,880141129
655,686,2,887427866
144,276,3,888104122
648,211,4,884368643
854,829,2,882813287
397,192,5,885349610
85,82,3,879454633
13,299,3,881515698
694,432,4,875727513
232,750,3,885939690
503,739,1,880383490
262,655,4,879793938
629,9,4,880117485
548,31,5,891044481
798,1239,4,875915965
236,148,4,890117028
717,291,4,884642479
435,264,3,884130671
95,675,2,888954310
151,432,5,879524610
846,612,5,883949421
145,452,3,882182762
239,50,5,889179131
389,386,3,880089302
938,9,3,891356413
606,709,5,880927417
26,150,3,891350750
474,492,4,887925838
514,405,2,875463386
592,1620,1,882609057
943,121,3,875502096
130,111,5,874953825
62,70,3,879373960
500,183,4,883873461
360,275,4,880354149
374,117,5,880392846
903,12,5,891033334
14,96,4,890881433
452,179,5,875265368
385,940,3,879447089
840,121,2,891204056
250,7,4,878089716
500,182,2,883873556
394,233,3,881058062
823,172,5,878437589
312,177,3,891698832
932,380,4,891250498
934,316,4,891188727
406,72,3,880131954
654,476,3,887863914
214,285,5,892668153
798,473,2,875296109
357,334,4,878951101
23,153,4,874786438
627,27,3,879530762
294,332,3,877818915
249,212,4,879572890
474,213,4,887927509
72,79,4,880037119
398,178,5,875718614
483,286,3,878950353
416,127,5,893213796
327,31,2,887820531
682,148,3,888520923
363,193,3,891494962
21,370,1,874951293
870,65,3,879713898
92,274,4,876175626
102,2,2,888801522
323,333,4,878738865
664,174,5,878092802
653,7,2,878866951
292,228,5,881105211
409,325,4,881105077
934,210,4,891191206
290,434,4,880474422
201,733,3,884140522
385,236,2,879439637
118,22,5,875385136
117,1057,2,881010401
151,1098,1,879528890
409,529,5,881109019
561,188,4,885807261
13,830,1,882397581
325,432,5,891479263
416,7,4,876697205
637,934,1,882905285
361,66,4,879441075
486,147,2,879875249
921,136,4,879380806
684,742,4,875810830
64,1063,3,889739539
664,286,4,876523092
70,496,4,884064545
727,101,2,883711771
786,385,4,882844294
334,620,2,891545540
28,646,4,881961003
532,399,3,888630360
606,230,2,880926084
391,924,2,877400116
532,535,5,888637085
660,163,2,891199992
553,205,4,879948869
537,131,4,886031407
840,181,3,891204056
435,331,5,884130671
72,181,1,880037203
716,274,5,879793631
174,268,5,886432749
782,294,3,891498381
92,708,4,875654432
405,1578,1,885549543
279,405,3,886015701
660,47,2,891200456
496,961,2,876070655
118,475,5,875384793
738,229,3,875351906
883,313,3,891692285
886,659,4,876033731
85,622,3,882995833
548,1011,2,891415746
92,294,3,875640679
821,483,5,874793517
919,756,3,875289170
174,88,5,886513752
913,127,4,882044440
160,218,4,876861878
130,248,3,874953769
933,384,1,874938475
650,145,3,891387953
486,287,4,879875279
432,93,2,889415812
254,269,2,887346935
467,240,3,879532773
308,61,3,887739336
234,617,3,892078741
280,693,3,891701027
151,659,5,879524974
