userid,itemid,rating,timestamp
97,192,1,884238778
279,216,3,884983225
497,31,3,879361802
94,1009,4,891722845
407,1263,2,876344668
453,1157,2,888206576
715,376,2,875964545
654,476,3,887863914
354,275,4,891216526
437,747,4,880143167
363,946,4,891498510
387,773,4,886481800
280,86,4,891700475
741,393,2,891040490
738,47,3,875353569
786,203,4,882843753
870,272,4,890920916
425,854,4,878738854
766,968,4,891310241
56,122,2,892911494
455,79,4,879112377
450,631,4,882394251
450,1192,5,887137066
864,531,5,888887739
160,405,3,876770441
280,423,5,891700276
407,223,4,891868745
650,174,4,891369479
916,151,3,880843578
378,708,4,880055949
804,39,2,879447475
417,450,2,880953014
437,401,5,880143505
254,625,3,886473808
650,355,2,891369190
243,127,4,879987045
458,742,4,886394730
141,410,4,884585195
144,847,4,888104063
796,496,5,892662223
658,70,3,875148196
932,474,5,891250418
409,474,5,881107351
268,562,4,875744357
756,53,3,874830432
643,179,4,891447901
311,212,3,884366397
307,269,4,879283333
591,72,3,891040366
405,567,2,885548474
466,327,3,890282956
660,675,3,891199556
488,521,3,891294942
26,116,2,891352941
406,235,4,879540330
746,186,4,885075497
697,331,3,882621431
698,507,4,886366611
664,603,5,876526518
903,443,5,891033755
650,489,3,891387277
653,238,1,878866604
18,762,3,880132103
303,514,5,879466667
303,323,1,879466214
601,288,1,876346515
622,117,4,882590291
542,721,2,886533003
184,66,4,889910013
294,346,3,889241377
640,550,4,874778722
503,496,5,880472474
117,1014,3,886021192
889,29,3,880182428
882,929,1,879863176
457,282,4,882392785
82,480,4,878769373
648,173,5,882213502
380,174,4,885478924
660,62,2,891201243
848,65,2,887038527
848,610,5,887046259
793,121,3,875104193
831,117,3,891354970
642,419,4,885603537
393,1407,3,889731010
911,419,5,892840916
193,627,4,889126972
551,808,3,892783791
405,63,3,885547408
796,434,4,892676195
159,597,5,880989838
62,100,4,879372276
773,924,1,888540146
405,669,1,885548435
18,276,5,880130829
553,182,3,879949290
472,380,5,875982511
393,763,5,887745086
92,135,4,875652981
459,181,4,879562939
201,81,1,884140488
311,967,3,884364764
95,416,4,888954961
545,578,4,884134936
854,603,4,882813600
619,550,5,885954134
766,52,4,891309177
293,216,4,888905990
456,448,3,881374586
328,481,3,885048500
892,423,5,886608185
327,1070,4,887744513
458,582,1,886398488
409,191,5,881107817
87,174,5,879875736
805,128,5,881694798
42,506,3,881108760
474,697,4,887928498
894,312,3,883518949
394,228,5,881132876
840,855,4,891205093
271,1266,2,885848943
393,40,1,889729185
102,447,4,888803002
342,11,5,874984315
436,187,5,887768982
541,66,4,883865929
942,678,3,891282673
194,485,3,879546498
151,497,5,879524325
398,435,5,875717106
255,5,2,883216599
303,540,1,879543679
796,196,5,892675693
620,288,4,889986452
846,719,2,883949643
586,403,4,884061807
933,63,2,874938563
76,100,5,875028391
339,176,4,891032413
85,566,3,879454273
913,99,4,881366878
847,1400,5,878940830
117,271,4,880124397
296,961,5,884197287
654,100,1,887863436
280,3,2,891702406
890,674,3,882404610
488,605,3,891294785
804,674,4,879445699
429,1119,3,882387653
144,262,3,888103444
660,211,4,891199104
648,25,2,882211760
727,1249,3,883711991
7,555,4,892134811
16,288,3,877717078
428,1280,3,885944069
141,279,1,884584817
305,287,3,886324097
844,99,3,877388040
334,277,3,891544904
880,1276,3,880167384
297,249,3,874955210
619,293,3,885953804
184,1396,4,889913490
786,684,4,882843607
459,123,3,879563312
459,117,5,879563146
671,1215,3,884036365
6,276,2,883599134
588,131,5,890024918
224,196,4,888103532
314,747,1,877889698
727,393,3,883712397
883,349,2,892557605
655,1135,3,887427743
62,33,1,879374785
425,435,3,878738334
189,1154,3,893265380
158,985,4,880134261
293,70,3,888907101
864,49,3,888892091
291,41,4,875086636
747,32,5,888639890
637,323,1,882899182
296,134,5,884197264
325,325,1,891477695
886,65,3,876031870
586,928,3,884065665
89,402,4,879460347
416,96,4,893142245
174,237,4,886434047
504,728,3,887908974
7,671,5,891351728
705,862,1,883427875
442,22,2,883390813
889,554,4,880181976
299,514,5,877881229
880,508,4,880166966
222,815,2,877563716
385,675,5,879446952
892,96,4,886608977
188,651,4,875073408
886,1324,2,876032308
437,425,4,880141374
666,154,3,880568662
886,1093,1,876032654
429,173,4,882384494
465,258,5,883529482
930,255,3,879534667
618,356,2,891309608
886,733,4,876032776
864,85,2,888889327
339,160,5,891033512
398,186,4,875733496
125,269,1,879454002
44,164,4,878348035
864,161,4,888891288
862,176,5,879304672
717,475,5,884642187
467,100,5,879532420
314,22,4,877889724
16,385,5,877727192
890,671,5,882404571
293,765,3,888907836
663,1327,4,889493210
934,286,4,891188367
458,134,5,886395963
305,56,1,886323068
425,679,3,878738548
62,433,5,879375588
931,14,4,891036648
436,400,3,887771924
43,405,4,883956122
870,746,3,879270400
184,724,4,889909672
342,240,3,875318629
709,1188,4,879848695
21,561,1,874951761
303,176,5,879467260
654,1014,3,887863981
655,1010,3,887477191
290,196,4,880474293
416,338,3,880159023
930,106,4,879535392
399,123,2,882340807
712,842,3,874957160
474,504,5,887924469
506,880,1,885135560
159,678,5,880485530
916,48,5,880844861
763,625,4,878923488
16,209,5,877722736
128,465,4,879968008
504,94,4,887841158
363,531,4,891495879
174,395,1,886515154
930,845,3,879534724
450,865,4,887136139
617,854,1,883789464
296,244,1,884196896
308,73,3,887738972
313,720,2,891028472
299,531,3,877880350
847,1086,4,878775404
308,122,4,887742165
807,79,5,892528690
684,520,4,875812065
437,221,5,880140154
445,933,1,891200390
201,202,3,884112747
343,257,3,876402941
246,219,5,884922801
280,471,3,891700553
488,322,3,891293009
361,402,3,879441179
488,136,4,891294158
290,144,3,880473802
650,118,4,891381546
505,332,4,888631126
330,66,5,876547533
268,432,3,875310145
316,306,4,880853072
484,405,4,881450182
532,353,2,886364951
642,186,5,885602739
426,481,5,879442892
566,69,4,881650108
533,148,3,882902641
543,1099,4,874863878
345,197,4,884992141
59,71,3,888205574
545,636,3,879899472
621,276,4,880736723
313,139,3,891030334
436,1248,3,887770485
894,279,4,880993709
886,636,3,876032473
116,286,3,876451911
766,810,2,891310620
328,317,4,885046976
422,1,3,875130063
758,273,4,881977714
299,70,3,877881320
548,1089,2,891044049
178,1011,3,882824431
89,1074,5,879459909
561,343,4,885807035
387,68,4,886483099
301,157,2,882076021
886,559,2,876033265
648,519,4,884628482
897,228,4,879991607
347,1088,1,881653224
766,183,4,891309484
207,294,3,875504669
942,435,5,891282931
897,239,2,879992310
393,544,3,887745135
276,575,2,874792310
532,795,2,874789538
342,1528,3,875318585
484,746,4,891195179
297,480,4,875238923
844,176,3,877387933
269,340,5,891446132
43,122,2,884029709
246,746,4,884922070
406,72,3,880131954
504,465,3,887909936
896,637,2,887160041
453,17,4,877553928
256,934,3,882163730
823,58,5,878438930
484,173,5,891195036
239,632,5,889181015
600,1419,3,888452564
291,940,3,875086608
293,251,4,888904734
878,432,3,880870048
207,986,3,877878384
299,1056,4,889502292
200,313,5,884125806
297,200,3,875239092
486,872,5,879874153
292,288,3,877560833
230,693,2,880485594
7,356,4,891351728
796,322,3,892611953
655,1636,4,887473570
758,362,5,888020763
807,612,5,892528690
805,240,3,881705350
13,17,1,882396954
601,483,4,876348782
479,288,3,879459836
7,655,5,891351384
756,111,4,874829670
222,448,3,878183565
344,486,4,884901156
339,29,3,891035759
454,493,2,888267617
405,737,1,885546487
883,250,3,892439468
664,174,5,878092802
109,230,5,880579107
567,12,4,882426508
936,295,3,886832502
72,628,4,880035857
38,393,5,892430282
821,95,5,874793898
85,512,3,879456199
847,180,2,878939945
921,202,4,884673891
712,1055,4,874730155
747,40,2,888733480
643,739,3,891449476
521,248,3,884476110
429,129,4,882385065
394,82,4,880889553
385,1367,5,880879193
642,628,3,891317897
896,96,5,887158635
537,746,3,886031149
454,161,4,888267198
326,177,3,879876881
833,200,4,875131847
63,126,3,875747556
13,752,1,886952569
298,625,4,884183406
921,24,3,879380097
865,7,5,880143425
514,1039,5,875318163
244,743,5,880602170
332,405,4,887938503
7,527,5,891351772
474,315,5,887914615
429,293,4,882385293
59,140,1,888206445
279,382,4,875312947
236,427,5,890118153
62,568,3,879375080
854,333,3,882811742
263,483,5,891298336
269,210,1,891449608
931,111,3,891036648
458,346,4,889323539
18,97,4,880131525
270,672,5,876956390
334,322,3,891544584
899,28,5,884121214
303,290,4,879483941
5,208,4,875636675
378,768,4,880333598
301,763,4,882074665
715,939,4,875964545
347,501,4,881654410
246,98,4,884921428
181,368,1,878963440
536,191,4,882360187
749,501,4,878847209
537,739,1,886032154
618,50,5,891307175
828,1073,4,891036630
186,829,4,891719775
749,637,1,878850456
561,17,2,885810167
828,971,4,891380167
457,554,4,882549682
763,509,5,878920895
23,315,3,884550320
560,12,5,879975661
194,419,2,879521088
655,466,3,887474630
332,148,5,887938486
381,191,5,892696757
665,96,3,884293831
256,471,5,882150644
823,53,5,878439229
752,1463,4,891208261
200,72,4,884129542
592,875,4,882607434
303,1048,4,879484871
72,1,4,880035614
474,44,3,887926998
13,716,4,882141393
537,303,4,886028706
619,118,5,885953827
230,291,4,880484825
254,417,3,886473408
487,679,2,883530724
296,455,1,884196921
385,1121,4,879443315
104,122,3,888465739
871,242,3,888192858
453,94,4,877561956
295,22,4,879517372
437,473,5,881001888
806,1071,4,882388965
328,148,3,885048638
405,90,4,885547447
320,1291,3,884749172
825,273,5,880756401
577,225,4,880470827
655,512,3,887474050
90,499,5,891383866
588,366,5,890027430
15,235,1,879456424
249,746,5,879641209
312,177,3,891698832
592,96,5,882956241
764,22,4,876245549
381,20,5,892696426
933,424,1,874938833
764,275,4,876242851
453,258,4,876191239
407,153,4,875042569
868,169,5,877106505
373,100,3,877100199
560,302,5,879975087
634,245,3,875729217
881,356,3,876539477
896,471,3,887159972
221,174,4,875245514
804,7,4,879443673
870,384,3,875680597
532,759,2,888631120
207,154,2,878088217
295,213,5,879517324
346,385,5,886274124
437,152,4,880141129
493,115,4,884131665
863,349,1,889289457
397,192,5,885349610
867,1608,2,880078110
805,387,3,881696905
292,100,5,881103999
327,886,2,887737493
417,80,4,879649247
487,845,4,883442260
374,31,5,880396659
60,160,4,883326525
653,125,2,878866973
263,125,4,891299573
805,161,1,881694823
334,276,4,891545089
533,474,3,879190771
521,229,2,884478314
189,105,2,893264865
916,64,5,880843996
886,1489,1,876034074
896,43,3,887161171
296,289,3,884196351
361,55,2,879441253
263,511,5,891299324
291,129,5,874805699
293,678,2,888904439
344,269,4,884814359
889,22,3,880178158
308,131,4,887739383
437,697,4,880140978
334,620,2,891545540
499,427,5,885599474
519,682,1,883248278
823,1267,4,878438780
58,89,3,884305220
343,462,4,876404385
198,218,3,884209412
308,965,4,887738387
94,508,5,891720712
10,509,4,877889005
2,295,4,888551164
1,88,4,878542791
312,506,4,891699121
201,213,4,884111873
327,286,2,887737328
600,89,5,888451492
537,1404,2,886032204
666,208,3,880139467
295,60,5,879517492
716,445,3,879797221
629,328,3,880116103
207,423,4,875774463
312,195,5,891698254
639,707,5,891239492
627,399,3,879531557
458,273,4,886394730
927,866,4,879181621
527,19,3,879456611
455,744,3,879109881
647,237,3,876776320
62,473,4,879373046
561,51,3,885810834
429,700,3,882386485
715,208,3,875963836
210,180,4,887735872
318,482,5,884496156
592,480,4,882955662
336,383,1,877758935
361,430,5,879440475
342,3,2,875318606
705,568,5,883428058
486,6,4,879874902
381,498,5,892696252
188,121,4,875073647
60,404,3,883327287
495,50,5,888632134
299,278,3,877879980
756,235,3,874827755
145,202,4,875272694
363,179,4,891496373
843,91,3,879446155
181,919,1,878962550
606,81,3,880924921
533,627,2,879439593
942,878,4,891282702
495,202,4,888633042
23,189,5,874785985
733,129,2,879535299
339,614,3,891034867
268,823,2,875742942
90,148,2,891385787
892,797,4,886610372
314,125,5,877886412
566,736,4,881650690
339,607,5,891032189
621,122,2,880738838
307,588,4,877118284
314,393,4,877889133
889,55,4,880181191
727,692,4,883711240
90,1136,3,891385899
264,98,5,886122098
271,924,3,885847974
634,340,4,881952599
663,64,5,889493502
659,136,5,891331874
671,231,3,884035993
347,91,1,881654679
896,216,5,887159658
311,470,3,884365140
648,288,4,882211654
49,11,3,888069458
7,588,4,891352261
715,155,4,875964580
157,740,2,886889876
293,1248,2,888907527
62,1009,4,879372869
497,274,3,879309760
307,423,5,879283587
795,17,2,883252686
712,431,3,874730552
158,202,5,880135001
454,182,3,888266685
7,72,5,891353977
586,239,3,884067058
305,12,5,886322930
648,127,3,884365970
624,870,4,879793155
608,475,3,880405971
286,432,3,878141681
239,488,5,889179033
312,166,5,891698391
514,275,5,875463028
698,433,4,886366848
286,125,4,876521650
230,582,4,880485380
197,33,2,891409981
303,23,5,879467936
862,519,4,879304326
627,576,3,879531504
239,150,5,889179131
198,1169,4,884208834
184,255,3,889907468
230,91,3,880485043
831,237,4,891355004
405,674,1,885548275
698,28,2,886366916
416,568,4,878879861
921,143,5,879381257
478,150,4,889388098
468,1014,3,875280539
269,137,4,891446193
682,209,3,888521381
500,665,3,883876714
848,132,5,887038197
503,402,3,880383467
292,24,4,881104481
435,977,2,884134829
932,614,4,891280138
122,673,3,879270511
919,892,3,885059724
299,1322,3,877878001
756,251,4,875129238
276,230,4,882659602
653,191,5,880150019
1,47,4,875072125
601,241,4,876350652
42,969,5,881107687
537,527,4,886031860
497,252,3,879310650
622,161,3,882670712
868,237,1,877108989
561,67,1,885810240
23,162,3,874786950
331,180,5,877196567
87,73,3,879877083
119,459,4,887038711
94,651,5,891725332
286,339,5,884583549
886,799,1,876032973
394,358,3,880886546
207,517,3,882081278
535,419,3,879618654
659,212,4,891387227
757,125,2,888467666
682,167,2,888522101
291,212,4,874868027
426,648,3,879441931
543,183,4,874864034
804,210,5,879441372
751,79,4,889132776
116,47,3,876454238
566,462,4,881650090
222,50,4,877563194
650,480,5,891371090
553,197,5,879948831
545,732,4,879899619
639,662,2,891239581
234,694,3,892079040
863,322,1,889289327
463,253,5,877387935
608,185,5,880405484
16,942,4,877719863
332,182,5,888098088
321,531,4,879440294
58,109,4,884304396
372,447,5,876869445
862,22,5,879304571
223,309,4,891548750
201,302,4,884110637
374,597,4,880393460
843,53,2,879443442
26,109,3,891376987
671,159,5,883949781
387,58,4,886484065
896,168,4,887158738
221,1210,3,875246887
256,31,5,882164867
500,89,4,883873505
141,252,4,884585195
174,575,1,886515239
253,510,5,891628416
885,179,1,885714226
749,934,3,878850333
389,1121,4,879991485
752,272,4,891207898
899,603,4,884121379
158,235,1,880132794
493,404,4,884132351
913,174,5,881367620
174,988,1,886515335
334,494,4,891547235
96,478,2,884403123
200,151,3,876042204
608,1009,4,880406032
160,174,5,876860807
705,566,4,883428058
425,4,4,878738290
642,174,5,885842594
130,228,4,875216420
533,120,1,879366160
533,182,3,879191265
536,199,3,882359499
279,393,1,875314093
712,421,4,874729935
751,2,4,889298116
276,384,3,874792189
181,118,2,878962955
727,63,2,883713454
831,354,4,891354063
535,495,3,879618849
716,13,2,879793376
815,144,4,878693989
749,527,4,878847364
435,68,4,884131901
487,1209,4,884045135
246,895,5,884924976
244,237,5,880602334
864,116,4,888887045
301,120,2,882079423
880,1184,3,880167806
533,258,4,884007368
634,147,2,875729749
122,269,5,879269963
447,11,4,878856208
782,878,3,891498918
268,182,4,875309882
387,393,2,886483009
758,510,3,881974823
157,147,5,886890342
330,1,5,876544432
622,29,4,882592735
385,603,5,880869422
660,153,4,891200388
643,216,4,891448136
537,953,3,886031473
373,232,3,877105075
130,249,5,876250746
332,367,4,888360212
383,166,4,891192858
207,746,4,877878342
303,700,3,879485718
757,156,3,888445551
38,155,5,892432090
560,183,5,879975586
655,1640,3,888474646
704,657,4,891397667
271,338,1,885847194
188,673,4,875074127
457,222,5,882392853
749,984,3,881073009
380,465,4,885478845
328,117,4,885046420
294,257,3,877819599
49,403,3,888069636
930,235,2,879535207
865,456,1,880144405
303,535,1,879544681
533,1177,1,879192184
311,482,4,884365104
648,265,4,884796886
717,546,3,884642932
326,505,3,879875271
236,735,5,890116599
141,313,5,884584271
790,153,3,885155077
911,514,3,892839454
815,54,3,878696355
496,98,4,876073160
269,504,4,891449922
76,61,4,875028123
345,15,4,884991220
881,9,3,876536198
334,640,4,891548129
934,526,2,891192197
379,576,4,880525678
62,89,5,879374640
344,127,5,889814518
299,182,3,878192039
346,1025,3,886273570
804,97,4,879442057
918,170,4,891987205
63,1138,2,875747789
495,282,5,888637768
938,255,1,891356329
151,514,4,879524797
14,408,5,879119348
864,65,3,888890690
497,1041,3,879310473
622,15,4,882590670
843,392,2,879447377
416,1229,2,893210527
887,176,5,881381348
1,24,3,875071713
881,7,4,876536164
733,324,4,879535694
216,237,5,880232752
758,480,5,881975213
234,965,3,892079538
716,174,5,879795025
200,176,5,884129627
747,304,4,888638370
313,154,2,891014753
246,164,3,884921613
294,7,4,877819563
493,546,5,884131738
889,739,3,880182517
533,236,4,890659276
224,778,1,888104057
116,302,3,876451911
151,227,5,879542670
705,405,4,883427479
561,4,3,885809044
870,579,2,879902161
15,125,5,879456049
881,177,4,876537900
497,590,2,879362461
398,178,5,875718614
279,56,4,875306515
932,484,5,891249586
308,385,4,887740099
833,854,4,875038529
49,122,2,888069138
708,127,3,877325213
94,1091,3,891722306
222,56,5,878182058
843,679,4,879444851
881,51,5,876538889
621,96,5,874963797
110,41,4,886989399
354,191,4,891217082
758,355,4,888461050
524,186,3,884634995
463,472,3,877385922
234,887,3,891034078
200,542,3,884130592
116,900,4,888311676
109,508,4,880571629
497,216,3,879310399
535,504,3,879617574
606,709,5,880927417
42,265,3,881107989
313,511,4,891013742
694,239,4,875729520
577,5,4,880475318
533,126,4,879192414
624,546,3,879793093
331,454,3,877196702
210,4,4,887730443
407,255,4,884197052
591,202,3,891031469
479,474,5,879461279
43,66,4,875981506
151,748,2,879523925
637,1374,1,882903447
790,949,4,885156825
577,663,5,880474612
643,7,4,891445354
60,606,4,883327201
610,606,5,888703343
313,187,4,891014373
297,8,5,875239795
130,240,4,875801750
10,531,5,877886911
805,259,1,879971049
316,673,2,880854083
271,528,3,885848448
889,178,5,880178078
938,841,3,891357190
308,657,4,887736696
543,947,4,877545605
308,463,4,887738057
851,1016,5,891961664
541,627,4,883874749
44,56,2,878348601
294,122,3,889242661
244,121,1,880604583
624,237,4,879793174
868,167,1,877110191
326,436,3,879877387
561,116,4,885809146
405,1113,1,885546680
345,125,3,884991191
478,48,4,889388587
682,520,4,888519725
254,843,2,886474807
128,690,3,879966274
854,324,3,882811937
790,210,4,885155209
116,145,2,876452980
72,654,4,880037461
632,404,5,879459544
907,71,5,880159911
128,485,3,879966895
751,485,4,889134483
694,492,4,875727581
782,948,2,891499699
387,4,3,886482969
561,1059,1,885808867
864,24,5,888887502
60,633,4,883326995
890,7,4,882402739
383,488,4,891193242
535,223,5,879618207
401,328,4,891031723
463,246,4,877387935
405,578,1,885548093
363,137,5,891495742
796,301,1,892611903
332,1011,3,887938631
405,1045,3,885546112
835,216,4,891033560
889,1152,3,880177778
919,243,3,875288418
436,287,4,887770169
828,1068,4,891035864
271,410,2,885848238
286,240,3,876521858
943,443,2,888639746
788,521,4,880869945
922,69,3,891453106
313,525,5,891013525
455,1136,3,879111705
864,290,3,888892053
256,15,5,882150644
299,501,3,889501790
6,70,3,883601427
174,582,4,886439537
798,377,3,875639061
95,205,3,888954412
833,181,2,875036321
795,169,5,880567884
804,96,5,879441677
474,696,3,887916330
15,546,2,879456324
13,887,5,882140867
21,370,1,874951293
435,252,2,884134677
63,289,2,875746985
524,526,3,884636907
527,508,3,879456363
455,627,3,879111705
214,171,4,891544323
592,7,5,882607986
23,527,4,874785926
733,846,2,879535848
868,150,5,877103834
409,516,4,881109347
326,663,1,879877159
773,386,3,888539643
889,77,3,880182359
499,117,3,885599246
298,651,5,884183063
484,29,3,891195532
49,55,4,888068057
239,172,4,889178833
875,478,4,876465025
401,655,3,891033417
125,346,1,892835800
95,1047,3,879193881
301,127,4,882074262
336,232,3,877757023
577,996,3,880475094
425,690,1,890346866
354,498,4,891217610
402,42,4,876267173
867,657,5,880078769
505,133,5,889334189
354,213,5,891217160
321,207,3,879440244
593,471,3,875659826
922,919,5,891454625
243,137,3,879987084
896,744,3,887160040
457,458,3,882393765
457,13,3,882393883
87,233,4,879876036
561,156,4,885807484
1,189,3,888732928
279,219,2,875736276
416,25,4,876697243
826,294,4,885689918
244,926,2,880609193
468,191,4,875287686
18,210,5,880131054
868,67,3,877109597
237,197,4,879376515
178,125,4,882824431
62,44,3,879374142
472,255,5,892791017
655,160,3,887427473
43,98,5,875981220
698,435,3,886366980
378,287,2,880044802
7,648,5,891351653
268,71,3,875309486
90,609,5,891384357
518,547,3,876823645
406,69,4,879446748
704,1299,3,891398702
194,1207,1,879555410
848,496,2,887037980
862,479,4,879305351
665,369,4,884291747
318,49,3,884497257
449,106,3,879958936
13,858,1,882397068
298,195,4,884183277
776,947,2,891628836
85,405,2,879453018
437,162,4,880141129
57,195,3,883698431
