user_id,course_id,update_time,collect_status,commit_status,duration,click_times,score
14593600000000.0,1149000000000000.0,5/7/2019 09:18:23,NO,NO,361,0,0
15723700000000.0,1629190000000000.0,28/3/2018 09:28:19,NO,NO,89,3,80
10364300000000.0,555776000000000.0,13/1/2020 05:45:34,NO,NO,2743,2,0
17997800000000.0,1633060000000000.0,27/5/2020 00:57:14,NO,NO,305,4,100
3840990000000.0,1448470000000000.0,24/6/2020 22:03:12,NO,NO,275,2,70
1453630000000.0,1.28368e+18,2/11/2020 14:14:31,NO,NO,1385,1,0
3918890000000.0,1363180000000000.0,5/5/2019 11:23:21,NO,NO,708,2,100
16799000000000.0,1904220000000000.0,5/7/2019 00:23:19,NO,NO,50,2,33
5494610000000.0,367589000000000.0,10/1/2020 06:07:02,NO,NO,3174,2,0
18847700000000.0,693948000000000.0,19/12/2018 04:44:31,NO,NO,6083,2,0
8070410000000.0,1450250000000000.0,22/7/2019 01:42:47,NO,NO,270,2,100
18381500000000.0,1.29389e+18,18/8/2020 05:12:35,NO,NO,365,2,100
19713900000000.0,1857840000000000.0,6/12/2017 00:42:30,NO,NO,341,3,0
5583320000000.0,1817480000000000.0,2/2/2020 13:08:41,NO,NO,264,2,100
2715440000000.0,1898340000000000.0,15/7/2020 01:13:04,NO,NO,105,3,99
16936000000000.0,1817890000000000.0,30/6/2018 13:51:08,NO,NO,464,4,67
2594930000000.0,1.26294e+18,24/5/2020 22:52:38,NO,NO,1415,4,0
10754600000000.0,1.28332e+18,30/9/2020 09:12:11,NO,NO,170,3,67
6184070000000.0,154522000000000.0,12/2/2020 03:53:16,NO,NO,148,2,100
15615900000000.0,1.21772e+18,29/3/2020 15:52:49,NO,NO,271,4,0
15518600000000.0,1220260000000000.0,2/9/2019 07:24:03,NO,NO,50,2,100
3450030000000.0,1936250000000000.0,30/5/2020 06:08:25,NO,NO,90,3,0
19386600000000.0,1324070000000000.0,28/9/2020 08:00:12,NO,NO,220,2,100
5995900000000.0,1.24491e+18,27/4/2020 14:14:50,NO,NO,98,2,0
11859700000000.0,1776190000000000.0,20/7/2020 06:42:26,NO,NO,125,2,100
18556400000000.0,1406840000000000.0,29/9/2020 15:02:11,NO,NO,190,3,33
2228410000000.0,1408200000000000.0,12/2/2020 09:03:57,NO,NO,21,3,100
15660500000000.0,1853640000000000.0,12/2/2020 02:32:27,NO,NO,101,3,100
8481840000000.0,1.32321e+18,4/11/2020 10:29:45,NO,NO,2850,6,70
4942300000000.0,1.30289e+18,3/11/2020 09:12:57,NO,NO,6365,5,0
2965770000000.0,1704480000000000.0,13/6/2019 11:49:00,NO,NO,173,3,100
4445760000000.0,1.24094e+18,31/3/2020 02:16:55,NO,YES,142,11,0
2564380000000.0,1911530000000000.0,31/3/2018 02:57:47,NO,NO,361,2,67
16936000000000.0,1635200000000000.0,29/3/2020 16:06:18,NO,NO,399,3,100
18609600000000.0,286247000000000.0,11/12/2019 01:37:58,NO,NO,180,1,0
4699420000000.0,1983700000000000.0,4/7/2019 14:42:52,NO,NO,87446,7,100
8661540000000.0,1618870000000000.0,21/3/2020 05:46:19,NO,NO,23,2,66
2959780000000.0,1.3185e+18,26/10/2020 01:22:23,NO,NO,1855,6,80
20329400000000.0,1530370000000000.0,29/6/2020 07:38:12,NO,NO,5,2,100
17001100000000.0,1.19775e+18,27/11/2019 02:52:25,NO,NO,235,1,0
3368310000000.0,1101700000000000.0,22/11/2019 04:13:18,NO,NO,30,2,65
14448000000000.0,1539970000000000.0,31/3/2020 03:42:23,NO,NO,40,4,0
2183080000000.0,1.32321e+18,10/11/2020 09:09:05,NO,NO,2850,4,100
12811700000000.0,1.25539e+18,30/4/2020 06:56:19,NO,NO,125,3,100
3598390000000.0,1.27712e+18,3/7/2020 04:51:58,NO,YES,1090,1,0
20373600000000.0,1578370000000000.0,22/8/2019 07:48:22,NO,NO,657,0,0
5396060000000.0,1760890000000000.0,10/5/2020 04:24:20,NO,NO,670,4,34
3062350000000.0,1212020000000000.0,11/6/2020 02:44:26,NO,NO,185,3,30
12971200000000.0,1921580000000000.0,12/3/2019 05:33:29,NO,NO,13,0,0
18585700000000.0,1109120000000000.0,1/5/2020 00:50:39,NO,NO,275,3,60
3723890000000.0,1179980000000000.0,10/6/2019 03:50:24,NO,NO,577,0,0
7466020000000.0,1915590000000000.0,23/6/2019 07:31:40,NO,NO,49,2,80
17992700000000.0,1182210000000000.0,17/2/2020 08:48:34,NO,NO,458,3,80
1813750000000.0,129901000000000.0,9/7/2019 05:53:51,NO,NO,938,2,100
9105250000000.0,1250080000000000.0,18/12/2019 23:13:33,NO,NO,15,3,100
5062640000000.0,605034000000000.0,29/10/2019 05:58:10,NO,NO,1860,4,0
17748300000000.0,117744000000000.0,26/9/2019 08:24:53,NO,NO,252,0,0
15694000000000.0,1.30677e+18,18/9/2020 02:27:02,NO,NO,330,3,67
4542830000000.0,1.23758e+18,26/3/2020 22:50:09,NO,NO,2495,1,0
20141000000000.0,184811000000000.0,17/10/2019 23:43:49,NO,NO,154,2,100
10364300000000.0,723847000000000.0,19/1/2020 00:31:52,YES,NO,3834,4,0
19825100000000.0,559023000000000.0,19/11/2017 23:11:18,NO,NO,962,3,0
15102000000000.0,1574450000000000.0,8/6/2020 08:35:04,NO,NO,210,3,70
11617800000000.0,494139000000000.0,31/7/2019 03:50:58,NO,NO,5723,2,0
17753300000000.0,835720000000000.0,28/11/2018 15:51:22,NO,NO,3231,17,0
19386600000000.0,1.28106e+18,22/7/2020 07:59:57,NO,NO,335,5,20
